,Name,Run_ID,Avg RHL (mm),Max RHL (mm),Min RHL (mm),Total RHD (mm^{2}),Max RHL Segment Delta (mm),Max RHL Segment Pos (mm),Max RHD Segment Delta (mm),Max RHD Segment Pos (mm),Elongation Zone Distance (mm),Elongation Zone Start (mm),Elongation Zone Stop (mm),Elongation Zone Gradient,Root Thickness (mm),Root Length (mm)
0,robigus_0010,robigus,1.4422344477359288,2.1078431372549016,0.0,67.77277970011534,1.1176470588235297,20.784313725490197,0.15407535563244906,2.156862745098039,7.0588235294117645,6.078431372549019,13.137254901960784,0.053785706469740624,0.976890756302521,27.254901960784313
0,robigus_0002,robigus,1.0715461757221973,2.2941176470588234,0.0,46.94252210688197,0.8431372549019607,16.862745098039216,0.18021914648212226,16.862745098039216,7.254901960784313,5.882352941176471,13.137254901960784,0.24982975969100732,0.7033405954974583,25.686274509803923
0,robigus_0008,robigus,1.3188103599648815,1.9901960784313726,0.0,61.35226835832373,0.7843137254901962,17.647058823529413,0.17301038062283738,7.450980392156863,7.0588235294117645,0.7843137254901961,7.8431372549019605,0.2348046684008144,0.7915758896151054,26.274509803921568
0,robigus_0011,robigus,1.2576759385924914,1.9705882352941178,0.0,54.84044598231449,0.9215686274509804,20.19607843137255,0.1728181468665898,7.254901960784314,7.450980392156862,0.39215686274509803,7.8431372549019605,0.21773236836040596,0.8265460030165912,25.294117647058822
0,robigus_0003,robigus,1.0912377450980393,1.7696078431372548,0.0,29.092079969242597,0.7450980392156863,8.235294117647058,0.12264513648596695,13.333333333333334,5.294117647058823,1.1764705882352942,6.470588235294118,0.23359413363466577,0.8860294117647058,15.686274509803921
0,robigus_0009,robigus,1.3510893246187365,1.980392156862745,0.0,42.270376778162245,0.9607843137254901,15.294117647058824,0.16186082276047675,7.8431372549019605,5.686274509803922,1.5686274509803921,7.254901960784314,0.29768422279872664,0.7854030501089325,17.647058823529413
0,robigus_0005,robigus,1.3619791666666667,1.9705882352941178,0.0,45.971741637831606,1.2745098039215685,18.03921568627451,0.20059592464436757,18.03921568627451,3.9215686274509802,1.3725490196078431,5.294117647058823,0.3667535610097469,0.915686274509804,18.823529411764707
0,robigus_0004,robigus,1.339907727797001,2.1568627450980395,0.0,39.87735486351403,2.0588235294117645,16.666666666666668,0.4117647058823529,16.666666666666668,7.450980392156863,0.19607843137254902,7.647058823529412,0.2235608540536517,0.962962962962963,16.666666666666668
0,robigus_0001,robigus,1.5146071851559413,2.343137254901961,0.13725490196078433,76.88629373317954,1.352941176470588,9.215686274509803,0.22385620915032678,9.215686274509803,5.88235294117647,0.19607843137254902,6.078431372549019,0.26228489305432623,0.803921568627451,29.215686274509803
0,robigus_0006,robigus,1.3656597774244832,1.9166666666666665,0.0,34.83391003460208,0.7843137254901961,8.823529411764707,0.14186851211072665,8.823529411764707,4.901960784313725,0.19607843137254902,5.098039215686274,0.30120795398934985,0.9,14.509803921568627
0,robigus_0007,robigus,1.4079994316567208,2.0784313725490193,0.0,33.67137639369473,1.235294117647059,12.941176470588236,0.17387543252595156,12.941176470588236,4.117647058823529,0.9803921568627451,5.098039215686274,0.3828021671239665,0.8543417366946778,13.529411764705882
