,Name,Batch_ID,Avg RHL (mm),Max RHL (mm),Min RHL (mm),Total RHD (mm2),Max RHL Delta (mm),Max RHL Delta Pos (mm),Max RHD Delta (mm2),Max RHD Delta Pos (mm),Elongation Zone Distance (mm),Elongation Zone Start (mm),Elongation Zone Stop (mm),Elongation Zone Gradient,Root Thickness (mm),Root Length (mm),RH Pixel Intensity Mean,Background Pixel Intensity Mean,RH:Background Pixel Ratio
0,brompton_0004,brompton,1.3146724598930482,1.965686274509804,0.0,40.4741445597847,0.8333333333333333,17.254901960784313,0.3143021914648212,17.254901960784313,6.470588235294118,1.3725490196078431,7.8431372549019605,0.2702110678594776,0.9335511982570807,17.254901960784313,140.53846479230705,234.81824069005114,0.5984989257193657
0,brompton_0003,brompton,1.499264705882353,2.0980392156862746,0.0,52.88860053825452,1.0882352941176472,19.607843137254903,0.2815263360246059,19.607843137254903,7.450980392156863,1.3725490196078431,8.823529411764707,0.25096107747987584,0.8300653594771242,19.607843137254903,147.45019653624942,197.00164657428925,0.7484718990947419
0,brompton_0002,brompton,1.8227333668510137,2.607843137254902,0.0,75.7754709727028,2.1862745098039214,22.941176470588236,0.4828911956939639,22.941176470588236,3.9215686274509802,1.3725490196078431,5.294117647058823,0.5014593769388821,1.033496732026144,22.941176470588236,133.22874799887924,165.71909046237604,0.8039432730843208
0,brompton_0001,brompton,1.4515664961636827,2.0588235294117645,0.0,47.30074971164936,0.5980392156862746,14.117647058823529,0.15465205690119183,18.03921568627451,9.019607843137255,1.3725490196078431,10.392156862745098,0.21278152354850308,0.8307533539731683,18.03921568627451,148.53483081095092,196.66434102098472,0.7552707828975552
0,holdfast_0015,holdfast,1.555327868852459,2.2745098039215685,0.0,65.79719338715879,1.9411764705882353,11.568627450980392,0.3441945405613226,6.2745098039215685,3.529411764705882,0.5882352941176471,4.117647058823529,0.443631995423131,0.9245852187028657,23.92156862745098,148.903754796527,185.45077929728023,0.8029287089585759
0,holdfast_0014,holdfast,1.500705585264409,2.3480392156862746,0.0,68.95895809304113,1.2352941176470589,25.88235294117647,0.27306805074971163,25.88235294117647,10.392156862745098,2.156862745098039,12.549019607843137,0.18220469910971965,0.7062454611474219,25.88235294117647,154.7717974866813,181.62826163053995,0.8521349931846571
0,holdfast_0013,holdfast,1.619094304388422,2.166666666666667,0.0,59.13475586312956,1.6862745098039216,20.58823529411765,0.31795463283352554,20.58823529411765,3.7254901960784315,1.1764705882352942,4.901960784313726,0.4777565886810507,0.954390451832907,20.58823529411765,151.3275469704348,186.0756018321837,0.8132584040056623
0,holdfast_0012,holdfast,1.5199095022624434,2.230392156862745,0.0,68.15119184928874,0.9215686274509802,14.705882352941176,0.16166858900422912,14.705882352941176,6.07843137254902,1.5686274509803921,7.647058823529412,0.30546030506733063,0.9353667392883079,25.49019607843137,163.04473754604004,197.43849669827244,0.8258001366127027
0,holdfast_0011,holdfast,1.6229803921568628,2.3970588235294117,0.0,70.61764705882354,0.8431372549019607,18.03921568627451,0.1055363321799308,5.294117647058823,8.627450980392156,1.3725490196078431,10.0,0.21898004550429556,0.7530165912518854,24.50980392156863,157.45551301506381,184.44512586348202,0.8536713143160275
0,holdfast_0010,holdfast,1.5604195166438668,2.357843137254902,0.0,69.6368704344483,0.8431372549019607,13.333333333333334,0.09102268358323717,13.333333333333334,7.254901960784313,1.3725490196078431,8.627450980392156,0.261177103462493,0.8457767722473605,25.294117647058822,156.44242067759697,183.75583924593914,0.8513602687107763
0,holdfast_0009,holdfast,1.5638763197586727,2.235294117647059,0.0,70.7390426758939,0.6568627450980393,18.431372549019606,0.1377354863514033,18.431372549019606,7.647058823529411,1.5686274509803921,9.215686274509803,0.24080595318211157,0.7839506172839507,25.49019607843137,160.8628218934046,181.98788426757278,0.8839205013059634
0,holdfast_0008,holdfast,1.4388176323160844,2.196078431372549,0.0,66.4110918877355,0.9901960784313726,21.176470588235293,0.14763552479815456,21.176470588235293,9.607843137254902,1.9607843137254901,11.568627450980392,0.19943984289239947,0.7948438634713145,26.07843137254902,160.16632047519732,180.9512329992711,0.8851352810391875
0,holdfast_0007,holdfast,1.3671781756180732,1.9558823529411766,0.0,53.693194925028834,0.9901960784313726,10.196078431372548,0.12985390234525185,18.431372549019606,5.686274509803921,1.3725490196078431,7.0588235294117645,0.2909391960245413,0.8272058823529411,22.54901960784314,157.522123324695,187.3809308910093,0.8406518346112722
0,holdfast_0006,holdfast,1.4411338448422846,2.1323529411764706,0.0,57.89407920030757,0.6764705882352942,10.196078431372548,0.14436755094194542,22.54901960784314,6.470588235294118,1.3725490196078431,7.8431372549019605,0.27760942919580706,0.8401534526854221,22.54901960784314,159.28601633939903,178.91577550280934,0.890284916977027
0,holdfast_0005,holdfast,1.4045490196078432,1.9950980392156863,0.0,60.75557477893118,0.7254901960784315,9.607843137254902,0.10640138408304495,19.215686274509803,7.450980392156863,1.3725490196078431,8.823529411764707,0.24086645497585343,0.8854901960784313,24.50980392156863,158.3377553657557,183.23489829814875,0.8641244481065942
0,holdfast_0004,holdfast,1.5217498764211568,2.2401960784313726,0.0,62.31516724336794,0.7450980392156863,9.803921568627452,0.12745098039215688,8.823529411764707,5.882352941176471,1.3725490196078431,7.254901960784314,0.3006984841495761,0.897875816993464,23.333333333333332,158.75086335299275,190.9790863232178,0.8312473706378446
0,holdfast_0003,holdfast,1.5337885154061623,2.313725490196078,0.0,73.57602845059591,1.5686274509803921,11.96078431372549,0.2157823913879277,27.45098039215686,7.254901960784315,1.5686274509803921,8.823529411764707,0.2650723312991091,0.9780256930358351,27.45098039215686,147.45705870015956,190.1774012984211,0.7753658305004075
0,holdfast_0002,holdfast,1.613194132614878,2.3823529411764706,0.0,73.16349480968859,2.088235294117647,20.58823529411765,0.3900422914263745,20.58823529411765,4.509803921568627,0.5882352941176471,5.098039215686274,0.4049930664097685,0.9001452432824981,25.686274509803923,149.42581730647544,187.78982159259903,0.7957077547613179
0,holdfast_0001,holdfast,1.4654302019315188,2.161764705882353,0.0,67.1478277585544,1.0980392156862744,23.333333333333332,0.19463667820069203,24.50980392156863,5.490196078431373,1.5686274509803921,7.0588235294117645,0.33997364334982916,0.9161220043572985,26.274509803921568,147.25360461613977,187.93475821903792,0.7835357653453106
