,Name,Batch_ID,Avg RHL (mm),Max RHL (mm),Min RHL (mm),Total RHD (mm2),Max RHL Delta (mm),Max RHL Delta Pos (mm),Max RHD Delta (mm2),Max RHD Delta Pos (mm),Elongation Zone Distance (mm),Elongation Zone Start (mm),Elongation Zone Stop (mm),Elongation Zone Gradient,Root Thickness (mm),Root Length (mm),RH Pixel Intensity Mean,Background Pixel Intensity Mean,RH:Background Pixel Ratio
0,flamingo_0006,flamingo,1.9294279695349217,2.700980392156863,0.0,81.59832756632065,1.0686274509803921,19.41176470588235,0.15522875816993464,19.41176470588235,4.11764705882353,1.7647058823529411,5.882352941176471,0.5966695052504314,0.9831372549019608,23.725490196078432,156.6028034952668,191.44329677962497,0.8180114223353356
0,flamingo_0005,flamingo,1.8720251459362371,2.7107843137254903,0.0,84.93521722414457,1.6078431372549018,25.49019607843137,0.3399653979238754,24.11764705882353,4.705882352941177,1.7647058823529411,6.470588235294118,0.4710119534712137,0.8870733478576616,25.686274509803923,162.69314495973646,203.10490710685684,0.8010301044776871
0,flamingo_0004,flamingo,1.664009529045263,2.553921568627451,0.0,60.41724336793541,1.5490196078431373,6.666666666666667,0.27210688196847366,6.666666666666667,5.098039215686274,1.3725490196078431,6.470588235294118,0.4312623953052342,0.7401960784313726,20.980392156862745,165.1700385619383,221.6231542664858,0.7452742882782603
0,flamingo_0002,flamingo,1.7733074361820198,2.7254901960784315,0.0,62.63168012302961,2.950980392156863,0.19607843137254902,0.19175317185697807,0.39215686274509803,5.294117647058823,1.5686274509803921,6.862745098039215,0.40065312058062064,0.8137254901960784,20.784313725490197,163.7502394033671,218.75282985322298,0.7485628392247036
0,bersee_0005,bersee,0.9966259230965112,2.049019607843137,0.0,25.390618992695117,1.156862745098039,10.0,0.18050749711649366,10.0,4.117647058823529,2.3529411764705883,6.470588235294118,0.297908730239155,0.7218137254901961,15.098039215686274,144.26381913148145,185.6568876258293,0.777045338723059
0,bersee_0004,bersee,1.478206945428774,2.1470588235294117,0.0,42.6938677431757,0.9901960784313726,0.5882352941176471,0.16676278354479046,0.5882352941176471,4.11764705882353,1.7647058823529411,5.882352941176471,0.46976231108423244,0.8512110726643599,16.274509803921568,150.7625802884002,189.3553348735727,0.7961887125549443
0,bersee_0003,bersee,0.820920303605313,1.5686274509803924,0.0,16.302864282968088,0.676470588235294,11.176470588235293,0.12860438292964246,11.176470588235293,4.117647058823529,2.3529411764705883,6.470588235294118,0.25891516686445076,0.631975867269985,12.156862745098039,153.3858812656301,201.06972483060633,0.7628492126044929
0,bersee_0002,bersee,0.7954901960784314,1.8725490196078431,0.0,18.95866974240677,1.2254901960784315,14.313725490196079,0.18810073048827375,14.313725490196079,3.9215686274509802,1.3725490196078431,5.294117647058823,0.28314120872537607,0.6311274509803921,14.705882352941176,166.068928790281,216.24411800757386,0.7679696924032149
0,bersee_0001,bersee,0.8980508870214753,1.607843137254902,0.0,24.43271818531334,0.8529411764705882,16.470588235294116,0.1922337562475971,16.470588235294116,4.901960784313726,1.5686274509803921,6.470588235294118,0.2507750135640748,0.6510957324106112,16.470588235294116,172.11069018497318,211.82820017132178,0.8125013102399681
0,brompton_0014,brompton,1.8443718228031953,4.450980392156863,0.0,82.73635140330643,5.627450980392157,1.9607843137254901,0.7979623221837755,1.9607843137254901,4.313725490196077,22.15686274509804,26.470588235294116,0.032998487974539505,1.1103848946986201,26.470588235294116,129.93601747869783,202.7564147448872,0.640847874737706
0,brompton_0013,brompton,1.6818710535061483,2.7107843137254903,0.0,69.57400999615533,2.892156862745098,4.117647058823529,0.5030757400999616,4.117647058823529,3.5294117647058822,1.5686274509803921,5.098039215686274,0.5877721789231719,1.0943627450980393,23.137254901960784,134.8429169514696,216.29630863036178,0.623417559945087
0,brompton_0012,brompton,1.8344733242134064,4.377450980392156,0.0,80.53018069973086,4.264705882352941,3.3333333333333335,0.5153787004998077,0.5882352941176471,4.11764705882353,4.705882352941177,8.823529411764707,0.46684369301158474,1.052790346907994,25.294117647058822,134.60350820164032,210.14964352368267,0.6405126649023855
0,brompton_0011,brompton,1.4204744397759104,2.107843137254902,0.0,55.760092272202996,0.803921568627451,0.19607843137254902,0.12956555171088044,3.5294117647058822,5.686274509803921,2.3529411764705883,8.03921568627451,0.3219391235265211,0.9233511586452764,21.96078431372549,151.41619335792862,209.3267192664083,0.7233486192712099
0,brompton_0009,brompton,1.3445820433436533,2.2794117647058822,0.0,44.60544021530181,1.2058823529411766,18.627450980392158,0.24615532487504804,18.627450980392158,8.627450980392156,0.9803921568627451,9.607843137254902,0.25229692641578416,1.0622549019607843,18.627450980392158,137.74627760333118,197.79726004837045,0.6964013433231883
0,brompton_0008,brompton,1.6923818707810996,2.397058823529412,0.0,72.83775470972702,0.6274509803921571,19.41176470588235,0.10322952710495964,22.352941176470587,4.705882352941176,2.156862745098039,6.862745098039215,0.39814050169417764,1.216078431372549,23.92156862745098,137.65991380292098,210.8783245859008,0.652793093236311
0,brompton_0007,brompton,1.851571510957324,4.833333333333333,0.0,84.86389850057671,3.441176470588235,1.3725490196078431,0.5092272202998847,1.3725490196078431,4.705882352941176,4.901960784313726,9.607843137254902,0.3986347211378349,1.1630355846042122,26.666666666666668,131.422963151428,204.87581681609078,0.6414762132194518
0,brompton_0006,brompton,1.6546637346527397,2.553921568627451,0.0,62.13542868127643,1.5980392156862744,20.19607843137255,0.2725874663590927,20.19607843137255,3.5294117647058827,2.156862745098039,5.686274509803922,0.49888683770982967,1.2446311858076564,20.980392156862745,143.88017888663867,191.44222388699254,0.7515592744658591
0,brompton_0005,brompton,1.7779447545441533,3.8088235294117645,0.0,82.42791234140715,4.088235294117647,0.19607843137254902,0.5368127643214149,0.19607843137254902,3.333333333333332,16.07843137254902,19.41176470588235,0.11044009301939806,1.5931372549019607,26.862745098039216,132.15785572254993,209.28544816447646,0.631471785934623
0,brompton_0003,brompton,1.4359889586902719,2.0735294117647056,0.0,52.25249903883122,0.9313725490196078,20.19607843137255,0.264321414840446,20.19607843137255,7.450980392156862,1.7647058823529411,9.215686274509803,0.2487498543247471,1.0401493930905696,20.19607843137255,153.4242830994509,205.81518795323367,0.7454468478502796
