,Name,Run_ID,Avg RHL (mm),Max RHL (mm),Min RHL (mm),Total RHD (mm^{2}),Max RHL Segment Delta (mm),Max RHL Segment Delta Pos (mm),Max RHD Segment Delta (mm),Max RHD Segment Delta Pos (mm),Elongation Zone Distance (mm),Elongation Zone Start (mm),Elongation Zone Stop (mm),Elongation Zone Gradient,Root Thickness (mm),Root Length (mm)
0,alchemy_0005,Alchemy,1.5033539731682148,2.3921568627450984,0.0,39.927720107650906,1.8627450980392157,14.901960784313726,0.3462129950019223,14.901960784313726,6.2745098039215685,0.9803921568627451,7.254901960784314,0.3040426556698521,0.9626225490196079,14.901960784313726
0,alchemy_0004,Alchemy,1.3939557474365893,2.1519607843137254,0.0,52.45857362552864,0.980392156862745,21.372549019607842,0.2171280276816609,21.372549019607842,6.862745098039214,1.3725490196078431,8.235294117647058,0.2868103245553702,0.8881461675579323,21.372549019607842
0,alchemy_0006,Alchemy,1.3074921326555313,2.122549019607843,0.0,36.75259515570934,1.2352941176470589,15.882352941176471,0.26412918108419836,15.882352941176471,8.23529411764706,0.19607843137254902,8.431372549019608,0.22134150923713286,0.7370242214532872,15.882352941176471
0,alchemy_0008,Alchemy,1.2045098039215687,1.8186274509803921,0.0,20.924163783160324,0.5588235294117647,7.450980392156863,0.06766628219915416,7.647058823529412,2.9411764705882355,1.5686274509803921,4.509803921568627,0.5392410075814571,0.7470588235294118,9.803921568627452
0,alchemy_0001,Alchemy,1.6582963374028856,2.269607843137255,0.0,60.63062283737024,1.1862745098039218,10.980392156862745,0.2233756247597078,10.980392156862745,5.686274509803921,1.3725490196078431,7.0588235294117645,0.36581414370187926,0.9467787114845938,20.784313725490197
0,alchemy_0003,Alchemy,1.6004331965344278,2.7107843137254903,0.0,48.44213763936948,2.049019607843137,16.862745098039216,0.36880046136101496,16.862745098039216,4.313725490196078,0.39215686274509803,4.705882352941177,0.42377724184994625,1.0659041394335513,16.862745098039216
0,alchemy_0007,Alchemy,1.260049019607843,1.8088235294117647,0.0,34.925990003844674,1.0784313725490198,5.490196078431373,0.21405228758169936,5.490196078431373,3.9215686274509807,0.9803921568627451,4.901960784313726,0.3956091786094295,0.7064950980392157,15.686274509803921
0,brompton_0011,Brompton,1.4898783587509077,2.0588235294117645,0.0,56.48952326028451,0.7647058823529412,20.19607843137255,0.1590734332948866,21.176470588235293,7.254901960784314,0.5882352941176471,7.8431372549019605,0.24126637038954152,0.8458110516934045,21.176470588235293
0,brompton_0009,Brompton,1.384395424836601,2.313725490196078,0.0,46.209630911188,1.2745098039215685,18.823529411764707,0.31391772395232603,18.823529411764707,9.411764705882353,0.39215686274509803,9.803921568627452,0.2338938766699869,0.7955882352941177,18.823529411764707
0,brompton_0005,Brompton,1.8337418300653596,2.4705882352941178,0.10294117647058823,84.40003844675125,0.7941176470588234,11.372549019607844,0.18060361399461744,10.980392156862745,6.666666666666666,0.19607843137254902,6.862745098039215,0.2509285998976866,0.9302832244008714,25.88235294117647
0,brompton_0003,Brompton,1.4975247524752473,2.063725490196078,0.0,53.85149942329873,1.1470588235294117,19.80392156862745,0.2839292579777009,19.80392156862745,9.803921568627452,0.9803921568627451,10.784313725490197,0.19023857165418687,0.8548085901027077,19.80392156862745
0,brompton_0013,Brompton,1.6137506284565108,2.235294117647059,0.0,65.74826989619378,1.049019607843137,14.901960784313726,0.19252210688196847,22.941176470588236,8.823529411764707,0.19607843137254902,9.019607843137255,0.2032084599488,0.9075021312872975,22.941176470588236
0,brompton_0012,Brompton,1.6899413308630538,2.3921568627450984,0.10784313725490197,75.14715494040753,0.8725490196078429,24.705882352941178,0.2069396386005382,24.901960784313726,6.666666666666666,1.9607843137254901,8.627450980392156,0.2558381124169063,0.9638009049773756,24.901960784313726
0,brompton_0006,Brompton,1.8054769984917043,2.6323529411764706,0.0,65.76624375240291,0.9607843137254902,5.882352941176471,0.1793540945790081,20.392156862745097,5.294117647058823,0.19607843137254902,5.490196078431373,0.3855358669788326,0.9822595704948646,20.392156862745097
0,brompton_0004,Brompton,1.3513814616755795,2.0392156862745097,0.0,41.98654363706267,0.803921568627451,17.254901960784313,0.33141099577085736,17.254901960784313,6.470588235294118,1.3725490196078431,7.8431372549019605,0.2822800304404535,0.9564270152505446,17.254901960784313
0,brompton_0010,Brompton,1.6319367369589344,2.181372549019608,0.22549019607843135,60.087946943483274,1.303921568627451,1.5686274509803921,0.22222222222222224,1.5686274509803921,5.294117647058823,0.19607843137254902,5.490196078431373,0.26451832606016745,0.8639705882352942,20.784313725490197
0,brompton_0014,Brompton,1.6227010183918527,2.2892156862745097,0.11274509803921569,73.19819300269128,0.4411764705882353,16.07843137254902,0.07814302191464823,16.07843137254902,8.03921568627451,0.19607843137254902,8.235294117647058,0.23161239922043306,0.9302832244008714,25.294117647058822
0,brompton_0002,Brompton,1.8690179461615153,2.8627450980392157,0.0,77.83544790465206,2.235294117647059,23.137254901960784,0.48760092272203,23.137254901960784,8.03921568627451,0.19607843137254902,8.235294117647058,0.25469842827841177,1.0698529411764706,23.137254901960784
0,brompton_0001,Brompton,1.5755813953488376,2.147058823529412,0.0,48.58323721645521,0.48039215686274495,12.941176470588236,0.13398692810457513,16.862745098039216,9.019607843137255,0.39215686274509803,9.411764705882353,0.2230025380504955,0.8591331269349846,16.862745098039216
0,brompton_0008,Brompton,1.7526518804243008,2.4950980392156863,0.2549019607843137,75.29306036139945,0.6470588235294119,22.352941176470587,0.10121107266435986,22.352941176470587,8.03921568627451,0.19607843137254902,8.235294117647058,0.21234562394959247,0.9949019607843138,23.92156862745098
0,brompton_0007,Brompton,1.6282557799239101,2.3627450980392157,0.0,76.73394848135332,0.6764705882352942,21.96078431372549,0.09832756632064588,14.901960784313726,8.431372549019606,17.84313725490196,26.274509803921568,0.054819450768990426,0.9822076978939724,26.274509803921568
0,claire_0002,Claire,1.3612926652142339,1.8676470588235294,0.0,63.672049211841596,1.1960784313725492,26.470588235294116,0.2291426374471357,26.470588235294116,6.470588235294117,1.7647058823529411,8.235294117647058,0.2635525702045292,0.7563025210084033,26.470588235294116
0,claire_0011,Claire,1.4162550516389762,2.102941176470588,0.0,65.32420222991158,0.5784313725490198,23.725490196078432,0.10726643598615918,23.725490196078432,8.431372549019608,2.3529411764705883,10.784313725490197,0.20730204360894142,0.7599854756717502,25.686274509803923
0,claire_0012,Claire,1.137332098193608,1.7892156862745097,0.0,48.02873894655902,0.5490196078431373,10.392156862745098,0.09957708573625529,10.392156862745098,8.431372549019608,1.9607843137254901,10.392156862745098,0.19502433600609909,0.6383861236802413,24.901960784313726
0,claire_0006,Claire,1.5386098259528531,2.1372549019607843,0.0,48.08544790465206,1.0588235294117645,3.5294117647058822,0.17185697808535177,3.5294117647058822,6.470588235294118,1.3725490196078431,7.8431372549019605,0.29424092113869926,0.9287925696594428,17.45098039215686
0,claire_0009,Claire,1.141235441545039,1.7745098039215685,0.0,51.66291810841984,0.6862745098039215,16.666666666666668,0.11726259131103423,16.666666666666668,10.784313725490197,2.156862745098039,12.941176470588236,0.14886174754831474,0.6633986928104576,26.07843137254902
0,claire_0001,Claire,1.1168006771053747,1.7990196078431373,0.0,52.82679738562092,0.6764705882352939,26.274509803921568,0.19703960015378702,27.254901960784313,11.764705882352942,1.1764705882352942,12.941176470588236,0.12879711762384993,0.6925770308123249,27.254901960784313
0,claire_0016,Claire,1.4176392779333953,1.9607843137254903,0.0,62.36178392925798,1.5392156862745097,24.705882352941178,0.29161860822760477,24.705882352941178,5.882352941176471,1.7647058823529411,7.647058823529412,0.2645925071253255,0.8284313725490197,24.705882352941178
0,claire_0010,Claire,0.8739127229839304,1.9901960784313726,0.0,37.75663206459055,0.8627450980392155,20.19607843137255,0.14965397923875434,16.07843137254902,3.9215686274509807,12.941176470588236,16.862745098039216,0.1840605310749191,0.6877269426289034,26.07843137254902
0,claire_0003,Claire,1.032488907971948,1.8872549019607843,0.0,47.56833910034602,0.9803921568627451,13.137254901960784,0.16003460207612458,13.137254901960784,8.03921568627451,2.549019607843137,10.588235294117647,0.0869756000556724,0.7342436974789915,26.862745098039216
0,claire_0005,Claire,1.7014563106796117,2.7401960784313726,0.0,61.720011534025375,2.0588235294117645,2.156862745098039,0.3604382929642445,2.156862745098039,2.941176470588235,0.5882352941176471,3.5294117647058822,0.6053158135651776,1.071301247771836,20.19607843137255
0,claire_0008,Claire,1.3006280637254903,1.9215686274509804,0.0,57.845732410611305,0.48039215686274495,12.549019607843137,0.08804306036139947,12.745098039215685,8.627450980392156,1.5686274509803921,10.196078431372548,0.18739079510865603,0.7011619462599855,25.098039215686274
0,claire_0015,Claire,1.4430291801760073,2.049019607843137,0.0,64.5739138792772,0.6568627450980393,15.490196078431373,0.07545174932718185,15.490196078431373,8.627450980392158,1.7647058823529411,10.392156862745098,0.20993209478901037,0.7251131221719458,24.901960784313726
0,claire_0004,Claire,1.2073073415412678,2.1568627450980395,0.0,36.0420030757401,1.0784313725490196,16.862745098039216,0.252402921953095,16.862745098039216,7.84313725490196,2.3529411764705883,10.196078431372548,0.21477997052859546,0.7685185185185185,16.862745098039216
0,claire_0013,Claire,1.2797825012357886,2.0,0.0,51.381680123029604,1.0588235294117647,3.1372549019607843,0.13321799307958476,2.156862745098039,5.882352941176471,0.5882352941176471,6.470588235294118,0.2442282438079698,0.6365286855482933,23.333333333333332
0,claire_0007,Claire,1.234154126766986,1.8872549019607843,0.0,53.82631680123029,0.6764705882352944,25.294117647058822,0.18925413302575933,25.294117647058822,12.941176470588236,1.7647058823529411,14.705882352941176,0.1381573494131618,0.6677978883861236,25.294117647058822
