,Name,Run_ID,Avg RHL (mm),Max RHL (mm),Min RHL (mm),Total RHD (mm^{2}),Max RHL Segment Delta (mm),Max RHL Segment Pos (mm),Max RHD Segment Delta (mm),Max RHD Segment Pos (mm),Elongation Zone Distance (mm),Elongation Zone Start (mm),Elongation Zone Stop (mm),Elongation Zone Gradient,Root Thickness (mm),Root Length (mm)
0,soissons_0003,soissons,1.45723821443471,1.9705882352941178,0.22058823529411764,47.93906189926951,1.2254901960784312,18.431372549019606,0.2711457131872357,18.431372549019606,4.509803921568627,0.19607843137254902,4.705882352941177,0.32347164851532123,0.9922600619195047,18.431372549019606
0,soissons_0006,soissons,1.5114081996434938,2.2598039215686274,0.12254901960784313,28.838235294117645,0.7156862745098038,8.235294117647058,0.1378316032295271,10.784313725490197,3.1372549019607843,1.3725490196078431,4.509803921568627,0.5535536775993442,0.9251336898395721,10.784313725490197
0,soissons_0001,soissons,1.594498910675381,2.269607843137255,0.18627450980392157,60.176278354479045,1.5980392156862744,20.58823529411765,0.2798923490965014,20.58823529411765,4.313725490196078,0.19607843137254902,4.509803921568627,0.34369960610015776,1.0690537084398977,21.176470588235293
0,soissons_0012,soissons,1.7122485357779471,2.215686274509804,0.1715686274509804,46.36399461745482,2.1176470588235294,1.5686274509803921,0.41234140715109574,1.5686274509803921,2.1568627450980395,2.549019607843137,4.705882352941177,0.3671506505689294,1.1354166666666667,15.098039215686274
0,soissons_0005,soissons,1.68234004127967,2.3333333333333335,0.27450980392156865,45.1797385620915,1.7352941176470589,14.901960784313726,0.3571703191080354,14.901960784313726,5.490196078431373,1.1764705882352942,6.666666666666667,0.33580294856043785,0.9497549019607843,14.901960784313726
0,soissons_0008,soissons,1.4321895424836604,2.0441176470588234,0.0,41.86264898116109,1.6666666666666665,16.470588235294116,0.2942137639369473,16.470588235294116,4.705882352941177,0.5882352941176471,5.294117647058823,0.3169860286328345,1.0947712418300655,16.470588235294116
0,soissons_0011,soissons,1.3225867269984914,2.0049019607843137,0.0,24.024029219530952,0.5196078431372548,4.901960784313726,0.17377931564782775,10.196078431372548,3.5294117647058827,1.3725490196078431,4.901960784313726,0.41879459054638024,0.7834224598930482,10.196078431372548
0,soissons_0002,soissons,1.3510818120351586,1.9117647058823528,0.12254901960784313,40.49509803921569,0.7941176470588236,5.882352941176471,0.11543637062668205,5.882352941176471,4.313725490196078,0.19607843137254902,4.509803921568627,0.3291181008452663,1.0016339869281046,17.058823529411764
0,soissons_0010,soissons,1.5441876750700279,1.9215686274509802,0.5392156862745098,38.02739331026528,2.4215686274509802,0.9803921568627451,0.46434063821607074,0.9803921568627451,2.9411764705882355,2.549019607843137,5.490196078431373,0.18833001873024766,1.1281045751633987,13.72549019607843
0,soissons_0009,soissons,1.3831853496115427,2.1176470588235294,0.12254901960784313,25.15743944636678,0.8823529411764703,7.254901960784314,0.11284121491733945,4.117647058823529,2.941176470588235,1.3725490196078431,4.313725490196078,0.4984390388236324,0.9028520499108734,10.392156862745098
0,soissons_0007,soissons,1.4728506787330318,2.2941176470588234,0.303921568627451,54.319876970396,1.5980392156862746,20.392156862745097,0.3495770857362553,20.392156862745097,5.098039215686274,0.19607843137254902,5.294117647058823,0.27098939260517746,1.1697860962566844,20.392156862745097
0,soissons_0014,soissons,1.224816176470588,1.8823529411764706,0.2892156862745098,33.31237985390234,1.0392156862745097,6.666666666666667,0.14850057670126873,12.352941176470589,5.686274509803922,0.19607843137254902,5.882352941176471,0.14646316731765868,0.9295343137254902,15.686274509803921
0,soissons_0013,soissons,1.370152505446623,1.8529411764705883,0.21568627450980393,42.709150326797385,0.7647058823529411,6.666666666666667,0.14792387543252594,17.647058823529413,3.725490196078431,0.19607843137254902,3.9215686274509802,0.34758875887340474,0.8864809081527347,17.647058823529413
