,Name,Distance From Root Tip (mm),RHL 1,RHL 2,RHD 1,RHD 2
0,hereward_0006,19.41176470588235,1.4215686274509804,0.0,0.23981161091887734,0.0
1,hereward_0006,19.215686274509803,1.5294117647058822,0.3627450980392157,0.27162629757785467,0.0
2,hereward_0006,19.019607843137255,1.8725490196078431,0.4117647058823529,0.30718954248366015,0.06795463283352557
3,hereward_0006,18.823529411764707,2.2254901960784315,0.5098039215686274,0.37773933102652824,0.0853517877739331
4,hereward_0006,18.627450980392158,2.1372549019607843,0.6274509803921569,0.39725105728565935,0.10928489042675894
5,hereward_0006,18.431372549019606,1.9705882352941178,0.7254901960784313,0.3613033448673587,0.1317762399077278
6,hereward_0006,18.235294117647058,2.3137254901960786,0.8627450980392157,0.41676278354479046,0.15638216070742023
7,hereward_0006,18.03921568627451,2.127450980392157,1.0294117647058822,0.3980199923106498,0.18589004229142636
8,hereward_0006,17.84313725490196,2.372549019607843,1.088235294117647,0.41061130334486734,0.20761245674740483
9,hereward_0006,17.647058823529413,2.411764705882353,1.3137254901960784,0.43589004229142636,0.23510188389081121
10,hereward_0006,17.45098039215686,2.4411764705882355,1.4411764705882353,0.369761630142253,0.25893886966551327
11,hereward_0006,17.254901960784313,1.9215686274509804,1.6666666666666667,0.33967704728950404,0.30017301038062283
12,hereward_0006,17.058823529411764,1.8627450980392157,1.8431372549019607,0.33794694348327564,0.33861976163014224
13,hereward_0006,16.862745098039216,1.9215686274509804,1.9215686274509804,0.36437908496732024,0.33054594386774316
14,hereward_0006,16.666666666666668,2.088235294117647,1.8529411764705883,0.36966551326412916,0.3319876970396001
15,hereward_0006,16.470588235294116,1.9803921568627452,1.9803921568627452,0.35630526720492117,0.35918877354863515
16,hereward_0006,16.274509803921568,2.3137254901960786,1.7941176470588236,0.40878508266051516,0.32612456747404844
17,hereward_0006,16.07843137254902,2.5588235294117645,1.7549019607843137,0.44559784698193,0.2958477508650519
18,hereward_0006,15.882352941176471,2.4607843137254903,2.284313725490196,0.4140715109573241,0.3997500961168781
19,hereward_0006,15.686274509803921,2.4705882352941178,1.9705882352941178,0.4205113417916186,0.35476739715494043
20,hereward_0006,15.490196078431373,2.2745098039215685,2.176470588235294,0.41791618608227604,0.3824490580545944
21,hereward_0006,15.294117647058824,2.803921568627451,2.049019607843137,0.45722798923490965,0.32833525567089583
22,hereward_0006,15.098039215686274,2.5980392156862746,1.9901960784313726,0.4779892349096501,0.35082660515186465
23,hereward_0006,14.901960784313726,2.411764705882353,1.8137254901960784,0.4478085351787774,0.3331410995770857
24,hereward_0006,14.705882352941176,2.284313725490196,2.1470588235294117,0.41147635524798154,0.39677047289504036
25,hereward_0006,14.509803921568627,2.235294117647059,2.1176470588235294,0.3882160707420223,0.3878316032295271
26,hereward_0006,14.313725490196079,2.3333333333333335,2.264705882352941,0.4295463283352557,0.4156093810073049
27,hereward_0006,14.117647058823529,2.2549019607843137,2.4607843137254903,0.39705882352941174,0.4275278738946559
28,hereward_0006,13.92156862745098,2.235294117647059,1.9215686274509804,0.40657439446366783,0.3221837754709727
29,hereward_0006,13.72549019607843,2.235294117647059,2.3333333333333335,0.4013840830449827,0.37591311034217606
30,hereward_0006,13.529411764705882,2.2941176470588234,2.0686274509803924,0.37918108419838525,0.37850826605151866
31,hereward_0006,13.333333333333334,2.3627450980392157,2.0980392156862746,0.4315647827758554,0.3752402921953095
32,hereward_0006,13.137254901960784,2.2450980392156863,2.0980392156862746,0.40590157631680124,0.3735101883890811
33,hereward_0006,12.941176470588236,1.9215686274509804,1.7647058823529411,0.3464052287581699,0.33294886582083816
34,hereward_0006,12.745098039215685,2.519607843137255,2.235294117647059,0.41762783544790466,0.37697039600153787
35,hereward_0006,12.549019607843137,2.4901960784313726,2.107843137254902,0.3833141099577086,0.3590926566705113
36,hereward_0006,12.352941176470589,2.264705882352941,2.235294117647059,0.39254133025759325,0.4037870049980777
37,hereward_0006,12.156862745098039,2.3137254901960786,2.264705882352941,0.38677431757016534,0.408881199538639
38,hereward_0006,11.96078431372549,2.264705882352941,2.607843137254902,0.40253748558246827,0.4541522491349481
39,hereward_0006,11.764705882352942,2.2450980392156863,2.6470588235294117,0.3954248366013072,0.4158016147635525
40,hereward_0006,11.568627450980392,2.3333333333333335,2.4215686274509802,0.4229142637447136,0.45078815840061515
41,hereward_0006,11.372549019607844,2.1372549019607843,2.392156862745098,0.38052672049211844,0.41205305651672436
42,hereward_0006,11.176470588235293,2.2745098039215685,2.5098039215686274,0.40609381007304884,0.448000768935025
43,hereward_0006,10.980392156862745,2.264705882352941,2.4313725490196076,0.4210880430603614,0.4457900807381776
44,hereward_0006,10.784313725490197,2.4019607843137254,2.5784313725490198,0.45107650903498653,0.4557862360630527
45,hereward_0006,10.588235294117647,2.5,2.5,0.4366589773164168,0.42320261437908496
46,hereward_0006,10.392156862745098,2.3823529411764706,2.392156862745098,0.40349865436370624,0.42397154940407533
47,hereward_0006,10.196078431372548,2.450980392156863,2.1666666666666665,0.4143598615916955,0.4008073817762399
48,hereward_0006,10.0,2.2450980392156863,2.3627450980392157,0.3919646289888504,0.4422337562475971
49,hereward_0006,9.803921568627452,1.8529411764705883,2.3333333333333335,0.33304498269896193,0.42474048442906576
50,hereward_0006,9.607843137254902,2.0,2.372549019607843,0.35611303344867357,0.4276239907727797
51,hereward_0006,9.411764705882353,2.2450980392156863,2.3529411764705883,0.42031910803537104,0.42474048442906576
52,hereward_0006,9.215686274509803,2.284313725490196,2.5588235294117645,0.39129181084198383,0.41695501730103807
