,Name,Run_ID,Avg RHL (mm),Max RHL (mm),Min RHL (mm),Total RHD (mm^{2}),Max RHL Segment Delta (mm),Max RHL Segment Pos (mm),Max RHD Segment Delta (mm),Max RHD Segment Pos (mm),Elongation Zone Distance (mm),Elongation Zone Start (mm),Elongation Zone Stop (mm),Elongation Zone Gradient,Root Thickness (mm),Root Length (mm)
0,kofa_0011,kofa,1.5163551401869155,2.313725490196078,0.0,57.04315647827758,1.8823529411764706,20.980392156862745,0.36168781237985387,20.980392156862745,10.392156862745098,0.9803921568627451,11.372549019607844,0.19035505146823836,0.7237076648841354,20.980392156862745
0,kofa_0008,kofa,0.8074685158616292,2.0833333333333335,0.0,29.94156093810073,1.0784313725490198,17.254901960784313,0.14042675893886963,20.19607843137255,11.176470588235295,11.568627450980392,22.745098039215687,0.13434010130024746,0.43718228031953527,24.11764705882353
0,kofa_0002_2,kofa,0.7071078431372548,1.6470588235294117,0.0,13.01643598615917,0.7647058823529412,9.803921568627452,0.14965397923875431,9.803921568627452,3.7254901960784315,7.254901960784314,10.980392156862745,0.26761053396066536,0.5351307189542484,10.980392156862745
0,kofa_0005,kofa,1.0653966131907309,2.200980392156863,0.0,32.02960399846213,1.1372549019607843,14.509803921568627,0.21318723567858514,14.509803921568627,8.431372549019608,1.5686274509803921,10.0,0.17676431200122247,0.5686274509803921,17.254901960784313
0,kofa_0012,kofa,1.3362879398334675,2.5,0.0,34.40455594002307,0.6568627450980393,11.372549019607844,0.12120338331410996,14.117647058823529,9.215686274509803,1.7647058823529411,10.980392156862745,0.22962987197634332,0.6352941176470588,14.313725490196079
0,kofa_0004,kofa,0.9547807887199823,1.9166666666666667,0.0,27.811995386389853,0.7941176470588234,15.294117647058824,0.09803921568627452,15.294117647058824,5.882352941176471,2.156862745098039,8.03921568627451,0.18850789183911723,0.5108932461873639,17.45098039215686
0,kofa_0010,kofa,1.4072047423620613,2.318627450980392,0.0,42.26355247981546,1.2450980392156863,15.490196078431373,0.19156093810073047,16.862745098039216,7.450980392156863,1.5686274509803921,9.019607843137255,0.2410430675677028,0.6372549019607843,16.862745098039216
0,kofa_0001,kofa,0.967107132708156,1.75,0.0,22.6142829680892,0.7843137254901961,12.156862745098039,0.11966551326412916,12.156862745098039,8.03921568627451,1.7647058823529411,9.803921568627452,0.19531846017614796,0.6288515406162465,13.529411764705882
0,kofa_0007,kofa,1.0775099513489608,1.9166666666666667,0.0,45.932910419069586,1.3529411764705883,25.098039215686274,0.19819300269127257,25.098039215686274,7.647058823529411,0.9803921568627451,8.627450980392156,0.14287627193314223,0.4865649963689179,26.07843137254902
0,kofa_0009,kofa,0.920002723311547,1.784313725490196,0.0,23.168781237985392,0.4411764705882353,11.764705882352942,0.07958477508650516,13.92156862745098,9.803921568627452,1.7647058823529411,11.568627450980392,0.15368999049414184,0.5843137254901961,14.117647058823529
0,kofa_0002_1,kofa,0.6881227900996464,1.4019607843137254,0.0,13.943483275663207,0.7254901960784312,11.96078431372549,0.07852748942714341,11.96078431372549,6.862745098039215,1.1764705882352942,8.03921568627451,0.15872928341461884,0.5384615384615384,11.96078431372549
0,kofa_0013,kofa,1.3338779956427016,2.2549019607843137,0.0,46.0420030757401,2.313725490196078,19.41176470588235,0.49009996155324875,19.41176470588235,12.941176470588236,1.7647058823529411,14.705882352941176,0.1489222409780437,0.7189542483660131,19.41176470588235
0,kofa_0003,kofa,0.6462665874430581,1.8627450980392157,0.0,20.80469050365244,1.1862745098039216,16.470588235294116,0.2349096501345636,19.41176470588235,7.647058823529411,7.0588235294117645,14.705882352941176,0.10729450820597058,0.6142156862745098,19.41176470588235
0,kofa_0006,kofa,1.033065953654189,1.818627450980392,0.0,38.134659746251444,0.9313725490196079,18.431372549019606,0.18118031526336026,21.568627450980394,9.80392156862745,0.7843137254901961,10.588235294117647,0.11253191203118026,0.5628342245989305,21.568627450980394
