,Name,Run_ID,Avg RHL (mm),Max RHL (mm),Min RHL (mm),Total RHD (mm^{2}),Max RHL Segment Delta (mm),Max RHL Segment Delta Pos (mm),Max RHD Segment Delta (mm),Max RHD Segment Delta Pos (mm),Elongation Zone Distance (mm),Elongation Zone Start (mm),Elongation Zone Stop (mm),Elongation Zone Gradient,Root Thickness (mm),Root Length (mm)
0,xi19_0013,Xi19,1.5384066247858366,2.1715686274509807,0.0,56.00941945405613,2.156862745098039,20.19607843137255,0.37697039600153787,19.80392156862745,4.117647058823529,0.9803921568627451,5.098039215686274,0.4288195794707252,0.9309269162210339,20.19607843137255
0,xi19_0012,Xi19,1.5351150075414781,2.200980392156863,0.0,56.32477893118031,1.0196078431372548,20.392156862745097,0.2559592464436755,20.392156862745097,6.274509803921569,1.3725490196078431,7.647058823529412,0.29029008212824964,0.8043672014260249,20.392156862745097
0,xi19_0005,Xi19,1.3691950464396283,1.9803921568627452,0.0,45.674163783160324,0.7647058823529413,13.72549019607843,0.1322568242983468,17.058823529411764,4.705882352941177,1.1764705882352942,5.882352941176471,0.39572017834013123,1.031372549019608,18.627450980392158
0,xi19_0003,Xi19,1.4203853955375252,2.0098039215686274,0.0,58.114763552479815,0.7254901960784312,13.72549019607843,0.11908881199538637,13.72549019607843,7.254901960784313,1.3725490196078431,8.627450980392156,0.25607041447316276,0.8361928104575164,22.745098039215687
0,xi19_0009,Xi19,1.5927820403523727,2.2794117647058822,0.0,77.10630526720493,1.8725490196078431,27.058823529411764,0.33679354094579006,27.058823529411764,5.294117647058823,1.5686274509803921,6.862745098039215,0.3462498977650821,0.8848039215686274,27.058823529411764
0,xi19_0010,Xi19,1.5082442067736186,2.0441176470588234,0.0,68.74307958477507,0.8333333333333333,13.137254901960784,0.1259131103421761,13.137254901960784,6.666666666666667,1.7647058823529411,8.431372549019608,0.2790183475658585,0.7374727668845317,25.88235294117647
0,xi19_0002,Xi19,1.3011204481792717,1.9950980392156863,0.0,31.19175317185698,0.9901960784313726,13.529411764705882,0.09948096885813151,11.176470588235293,5.882352941176471,1.7647058823529411,7.647058823529412,0.32128214599879873,0.75,13.72549019607843
0,xi19_0008,Xi19,1.5123394185260313,2.156862745098039,0.0,77.28844675124952,1.8235294117647058,28.431372549019606,0.32516339869281047,28.431372549019606,6.078431372549019,0.7843137254901961,6.862745098039215,0.2952199789985066,0.8839869281045752,28.431372549019606
0,xi19_0004,Xi19,1.4236853832442067,1.9852941176470589,0.0,44.24423298731257,1.7745098039215688,17.254901960784313,0.31968473663975394,17.254901960784313,4.117647058823529,1.1764705882352942,5.294117647058823,0.40196216854912187,0.9293085655314757,17.254901960784313
0,xi19_0006,Xi19,1.3641009595327491,1.9754901960784312,0.0,44.790369088812,1.4705882352941178,18.431372549019606,0.2640330642060746,18.431372549019606,4.117647058823529,1.1764705882352942,5.294117647058823,0.3945276652607677,1.0333333333333334,18.431372549019606
0,xi19_0011,Xi19,1.466503267973856,2.053921568627451,0.0,67.46193771626298,0.8529411764705883,16.274509803921568,0.1527297193387159,16.274509803921568,5.490196078431373,1.5686274509803921,7.0588235294117645,0.3232127198619931,0.8518518518518519,25.88235294117647
0,xi19_0001,Xi19,1.0511480908152735,1.4362745098039216,0.0,28.881872356785856,1.5294117647058822,13.333333333333334,0.26230296039984624,13.333333333333334,4.705882352941177,0.9803921568627451,5.686274509803922,0.2770457019387811,0.8051470588235294,14.901960784313726
