,Name,Run_ID,Avg RHL (mm),Max RHL (mm),Min RHL (mm),Total RHD (mm^{2}),Max RHL Segment Delta (mm),Max RHL Segment Delta Pos (mm),Max RHD Segment Delta (mm),Max RHD Segment Delta Pos (mm),Elongation Zone Distance (mm),Elongation Zone Start (mm),Elongation Zone Stop (mm),Elongation Zone Gradient,Root Thickness (mm),Root Length (mm)
0,robigus_0010,Robigus,1.5275074058400337,2.230392156862745,0.0,72.53988850442137,1.9607843137254901,8.235294117647058,0.2944059976931949,12.156862745098039,4.313725490196078,0.7843137254901961,5.098039215686274,0.3442747659875702,0.7647058823529411,27.254901960784313
0,robigus_0002,Robigus,1.1249622926093514,2.313725490196078,0.0,49.46193771626298,1.215686274509804,11.568627450980392,0.22693194925028837,11.568627450980392,4.509803921568627,5.882352941176471,10.392156862745098,0.30757917081175373,0.678649237472767,25.49019607843137
0,robigus_0008,Robigus,1.2902765583845477,1.9950980392156863,0.0,59.570742022299115,0.7647058823529413,20.19607843137255,0.16974240676662822,7.450980392156863,5.882352941176471,1.7647058823529411,7.647058823529412,0.29180037381493595,0.7687000726216412,26.274509803921568
0,robigus_0011,Robigus,1.3351573187414503,2.0441176470588234,0.0,58.83391003460208,0.9117647058823529,23.137254901960784,0.16541714725105727,23.137254901960784,6.2745098039215685,1.5686274509803921,7.8431372549019605,0.26808242861991005,0.665158371040724,25.294117647058822
0,robigus_0003,Robigus,1.1200670141474312,1.8088235294117647,0.0,29.599000384467516,0.7254901960784312,2.7450980392156863,0.12927720107650903,2.7450980392156863,2.7450980392156863,0.39215686274509803,3.1372549019607843,0.38521586801533586,0.8363970588235294,15.490196078431373
0,robigus_0009,Robigus,1.3584489975765586,1.9852941176470589,0.0,42.14090734332949,0.980392156862745,15.098039215686274,0.1518646674356017,7.647058823529412,5.686274509803921,1.1764705882352942,6.862745098039215,0.31299897292024,0.7805010893246188,17.45098039215686
0,robigus_0005,Robigus,1.3826082516339868,2.0245098039215685,0.0,46.28767781622453,1.2745098039215685,18.03921568627451,0.21472510572856596,18.03921568627451,4.117647058823529,1.1764705882352942,5.294117647058823,0.43663008778555007,0.8573529411764707,18.823529411764707
0,robigus_0004,Robigus,1.4139093137254901,2.1911764705882355,0.0,39.43512110726644,2.3823529411764706,15.686274509803921,0.4171472510572857,15.686274509803921,4.313725490196078,0.7843137254901961,5.098039215686274,0.3908085102278235,0.9297385620915032,15.686274509803921
0,robigus_0001,Robigus,1.448231319554849,2.3333333333333335,0.0,72.91041906958861,1.4313725490196079,7.450980392156863,0.23116109188773548,28.431372549019606,4.901960784313726,0.7843137254901961,5.686274509803922,0.305386153282143,0.7843137254901961,29.019607843137255
0,robigus_0006,Robigus,1.4370234204793029,1.9705882352941178,0.0,35.5084582852749,1.156862745098039,4.117647058823529,0.19675124951941558,4.117647058823529,3.7254901960784315,0.9803921568627451,4.705882352941177,0.46339837916875,0.8496732026143792,14.117647058823529
0,robigus_0007,Robigus,1.432722364308042,2.333333333333333,0.0,34.2059784698193,0.7450980392156863,11.96078431372549,0.16416762783544792,13.529411764705882,3.7254901960784315,1.1764705882352942,4.901960784313726,0.4463719400615842,0.8319327731092437,13.529411764705882
